"WIN-HICKMANF-102","Hickman - Petite Syrah - 2010","R-Wine Bottles","26.00","0.075",
"WIN-LUCEROVI-104","Lucero - Cabernet 2004","R-Wine Bottles","24.00","0.075",
"WIN-LUCEROVI-101","Lucero - Cabernet 2006","R-Wine Bottles","22.00","0.075",
"WIN-LUCEROVI-102","Lucero - Merlot 2008","R-Wine Bottles","18.00","0.075",
"WIN-LUCEROVI-100","Lucero - Paulina 2010","R-Wine Bottles","19.00","0.075",
"WIN-NEWCLAIR-102","New Clairvaux - Barbera","R-Wine Bottles","20.00","0.075",
"WIN-NEWCLAIR-103","New Clairvaux - Red Table","R-Wine Bottles","17.00","0.075",
"WIN-NEWCLAIR-101","New Clairvaux - Tempranillo","R-Wine Bottles","19.00","0.075",
"WIN-NEWCLAIR-100","New Clairvaux - Viognier","R-Wine Bottles","19.00","0.075",
"RET-NEWCLAIR-105","New Clairvaux Petite Syrah","R-Wine Bottles","21.00","0.075",
"RET-NEWCLAIR-104","New Clairvaux Petite Temptation","R-Wine Bottles","19.00","0.075",
"WIN-RENAISSA-118","Renaissance - Cabernet PC - 1995","R-Wine Bottles","48.00","0.075",
"WIN-RENAISSA-117","Renaissance - Cabernet Sauvignon - 1999","R-Wine Bottles","35.00","0.075",
"WIN-RENAISSA-123","Renaissance - Cabernet Sauvignon - 1999  VT","R-Wine Bottles","40.00","0.075",
"WIN-RENAISSA-116","Renaissance - Cabernet Sauvignon - 2002","R-Wine Bottles","30.00","0.075",
"RET-RENAISSA-124","Renaissance - Cabernet Sauvignon 1987","R-Wine Bottles","43.00","0.075",
"WIN-RENAISSA-112","Renaissance - Cabernet Sauvignon 1996","R-Wine Bottles","37.00","0.075",
"WIN-RENAISSA-111","Renaissance - Cabernet Sauvignon Reserve - 2001","R-Wine Bottles","48.00","0.075",
"WIN-RENAISSA-120","Renaissance - Granite Crown","R-Wine Bottles","28.00","0.075",
"WIN-RENAISSA-113","Renaissance - Mediterranean Red - 2006","R-Wine Bottles","22.00","0.075",
"WIN-RENAISSA-115","Renaissance - Riesling 2002","R-Wine Bottles","27.00","0.075",
"WIN-RENAISSA-114","Renaissance - Semillon - 2013","R-Wine Bottles","21.00","0.075",
"WIN-RENAISSA-119","Renaissance - Semillon 375 ml - 2006","R-Wine Bottles","21.00","0.075",
"WIN-RENAISSA-121","Renaissance - Syrah - 2002","R-Wine Bottles","32.00","0.075",
"WIN-RENAISSA-122","Renaissance 1999 Late Harvest","R-Wine Bottles","29.00","0.075",
"WIN-SPENCERS-100","Spencer Shirey - Chardonnay","R-Wine Bottles","18.00","0.075",
"WIN-SPENCERS-101","Spencer Shirey - Merlot","R-Wine Bottles","23.00","0.075",
"WIN-SPENCERS-102","Spencer Shirey - Zinfandel","R-Wine Bottles","24.00","0.075",
"WIN-YUBAHARV-317","Variable","R-Wine Bottles","0.00","0.075",
"RAF-KELLYPAT-100","Kelly Patton Raffle Ticket","Raffle Tickets","5.00","0",
"RAF-KOMISSAR-110","Komissarchik Art Raffle","Raffle Tickets","5.00","0",
"WIN-YUBAHARV-194","Glass","Wine Tasting & By The Glass","0.00","0",
"WIN-YUBAHARV-290","Tasting","Wine Tasting & By The Glass","5.00","0",
"","Ticket","Wine Trail","20.00","0",
"RET-AGNESCAR-101","Agnes - Cards","X-Art Cards","6.00","0",
"RET-AGNESCAR-100","Agnes - Postcards","X-Art Cards","1.00","0",
"RET-BATADAM*-111","Bat Adam - Cards","X-Art Cards","6.00","0.075",
"RET-BETHJONA-109","Beth - Cards","X-Art Cards","6.00","0.075",
"RET-HOLMANLC-102","Carter Holman - Cards","X-Art Cards","6.00","0.075",
"","Kelly Patton-cards","X-Art Cards","6.00","0",
"RET-KOMISSAR-109","Max Komissarchick - Cards","X-Art Cards","6.00","0.075",
"RET-RADUSAVA-100","Radu Sava - Cards","X-Art Cards","5.00","0.075",
"RET-HOLODNOV-100","Tatyana - Cards","X-Art Cards","6.00","0.075",
"","Kelly Patton","X-Art Gallery","0.00","0.075",
"ART-MAXKOMIS-100","Max komissarchick","X-Art Gallery","0.00","0",
"RAF-YUBAHARV-316","Raffle","X-Art Gallery","5.00","0",
"RET-SARAHSBO-101","Books","X-Books - The Next Page - Yoad ","0.00","0.075",
"RET-YOADROWN-100","Yoad's Coffee - 1 lb","X-Books - The Next Page - Yoad ","14.00","0",
"RET-FARMBOYS-100","Farmboy's - Barbecue Sauce","X-Farmboys","6.00","0",
"RET-FARMBOYS-101","Farmboy's - Fish, Beef, & Chicken Rub","X-Farmboys","6.00","0",
"RET-FARMBOYS-102","Farmboy's - Jalapeno & Lime Dusting Salt","X-Farmboys","6.00","0",
"RET-FARMBOYS-103","Farmboy's - Smoked Habanero-Cayenne Dusting Salt","X-Farmboys","6.00","0",
"","Gem Vibes","X-Gem Vibes","0.00","0",
"RET-GEMVIBES-103","Gem Vibes - Chalkboard Wine Glass","X-Gem Vibes","25.95","0.075",
"RET-GEMVIBES-102","Gem Vibes - Vine Wine Glass","X-Gem Vibes","17.95","0.075",
"RET-GEMVIBES-101","Gem Vibes - Wine Charms ","X-Gem Vibes","12.95","0.075",
"RET-HARVESTI-105","Harvesting Vitality Bee Energee","X-Harvesting Vitality","17.00","0.075",
"RET-HARVESTI-101","Harvesting Vitality Bee Nutritive","X-Harvesting Vitality","17.00","0.075",
"RET-HARVESTI-106","Harvesting Vitality Breath Easy","X-Harvesting Vitality","17.00","0.075",
"RET-HARVESTI-109","Harvesting Vitality Cold And Flu Away","X-Harvesting Vitality","17.00","0",
"RET-HARVESTI-110","Harvesting Vitality Elder And Anise","X-Harvesting Vitality","17.00","0",
"RET-HARVESTI-108","Harvesting Vitality Flower Power","X-Harvesting Vitality","17.00","0",
"RET-HARVESTI-110","Harvesting Vitality Gomasio","X-Harvesting Vitality","15.00","0.075",
"RET-HARVESTI-103","Harvesting Vitality Happy Belly","X-Harvesting Vitality","17.00","0.075",
"RET-HARVESTI-111","Harvesting Vitality Honey Elixir","X-Harvesting Vitality","17.00","0.075",
"RET-HARVESTI-104","Harvesting Vitality Let's Gomasio","X-Harvesting Vitality","15.00","0.075",
"RET-HARVESTI-111","Harvesting Vitality Nailin The Coughin","X-Harvesting Vitality","17.00","0",
"RET-HARVESTI-107","Harvesting Vitality Sailin' the C's","X-Harvesting Vitality","17.00","0.075",
"RET-HARVESTI-102","Harvesting Vitality Sleepezzz","X-Harvesting Vitality","17.00","0.075",
"RET-LAVINIAA-112","Lavinia - Bath Salts","X-Lavinia Atelier ","6.00","0.075",
"RET-LAVINIAA-115","Lavinia - Beeswax Candles","X-Lavinia Atelier ","10.00","0.075",
"RET-LAVINIAA-114","Lavinia - Body Wash","X-Lavinia Atelier ","6.75","0.075",
"RET-LAVINIAA-107","Lavinia - Liquid Soap","X-Lavinia Atelier ","6.25","0.075",
"RET-LAVINIAA-102","Lavinia - Shampoo","X-Lavinia Atelier ","7.75","0.075",
"","Room Spray","X-Lavinia Atelier ","8.75","0",
"RET-LILLYST*-102","Lily Black Oolong Tea ","X-Lilys tea","6.00","0",
"RET-LILLYST*-107","Lily's Chrysanthemum","X-Lilys tea","19.00","0",
"RET-LILLYST*-101","Lily's Green Oolong","X-Lilys tea","4.00","0.075",
"RET-LILLYST*-100","Lily's Green and Black","X-Lilys tea","40.00","0",
"RET-LILLYST*-105","Lily's Pu'er Green","X-Lilys tea","40.00","0",
"RET-LILLYST*-104","Lily's Pure Green Tea","X-Lilys tea","4.00","0",
"RET-AMYDAVIS-126","Amy's","X-Pottery","0.00","0",
"RET-YURYSPOT-100","Yuri's","X-Pottery","0.00","0",
"RET-SOLSTICE-119","California Foothills 12oz","X-Solstice Honey","12.50","0",
